"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store_manager\lib\screens\manage_product\bloc\manage_product_state.dart", "Dart", 45, 0, 5, 50
"d:\Flutter Application\book_store_manager\lib\screens\manage_product\manage_product_page.dart", "Dart", 122, 0, 8, 130
"d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\filter_product_dialog.dart", "Dart", 317, 0, 8, 325
"d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\product_item.dart", "Dart", 115, 0, 5, 120
"d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\product_list.dart", "Dart", 79, 0, 3, 82
"d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\search_field.dart", "Dart", 80, 0, 7, 87
"d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\styles.dart", "Dart", 5, 0, 2, 7
"d:\Flutter Application\book_store_manager\lib\screens\manage_product\views\total_product.dart", "Dart", 28, 0, 3, 31
"d:\Flutter Application\book_store_manager\lib\screens\manage_user\bloc\manage_user_bloc.dart", "Dart", 39, 0, 10, 49
"d:\Flutter Application\book_store_manager\lib\screens\manage_user\bloc\manage_user_event.dart", "Dart", 11, 0, 6, 17
"d:\Flutter Application\book_store_manager\lib\screens\manage_user\bloc\manage_user_state.dart", "Dart", 24, 0, 5, 29
"d:\Flutter Application\book_store_manager\lib\screens\manage_user\manage_user_page.dart", "Dart", 41, 0, 3, 44
"d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\styles.dart", "Dart", 5, 0, 2, 7
"d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\total_user.dart", "Dart", 24, 0, 3, 27
"d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\user_item.dart", "Dart", 80, 0, 5, 85
"d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\user_list.dart", "Dart", 82, 0, 7, 89
"d:\Flutter Application\book_store_manager\lib\screens\manage_user\views\user_search_field.dart", "Dart", 81, 0, 8, 89
"d:\Flutter Application\book_store_manager\lib\screens\notification\bloc\notification_bloc.dart", "Dart", 109, 0, 22, 131
"d:\Flutter Application\book_store_manager\lib\screens\notification\bloc\notification_event.dart", "Dart", 21, 0, 11, 32
"d:\Flutter Application\book_store_manager\lib\screens\notification\bloc\notification_state.dart", "Dart", 28, 0, 5, 33
"d:\Flutter Application\book_store_manager\lib\screens\notification\notification_page.dart", "Dart", 130, 0, 6, 136
"d:\Flutter Application\book_store_manager\lib\screens\notification\views\empty_page.dart", "Dart", 34, 0, 4, 38
"d:\Flutter Application\book_store_manager\lib\screens\notification\views\notification_item.dart", "Dart", 195, 0, 7, 202
